Name,Conference,Division,Team,Height,Age,Jersey No.,Position,#
Trae Young,Eastern,Southeast,Atlanta Hawks,6-1,23,11,G,1
Clint Capela,Eastern,Southeast,Atlanta Hawks,6-10,27,15,C,2
John Collins,Eastern,Southeast,Atlanta Hawks,6-9,24,20,F,3
Danilo Gallinari,Eastern,Southeast,Atlanta Hawks,6-10,33,8,F,4
Bogdan Bogdanovic,Eastern,Southeast,Atlanta Hawks,6-6,29,13,G,5
Jayson Tatum,Eastern,Atlantic,Boston Celtics,6-8,24,0,F,6
Jaylen Brown,Eastern,Atlantic,Boston Celtics,6-6,25,7,G,7
Marcus Smart,Eastern,Atlantic,Boston Celtics,6-4,28,36,G,8
Al Horford,Eastern,Atlantic,Boston Celtics,6-9,35,42,C,9
Robert Williams III,Eastern,Atlantic,Boston Celtics,6-9,24,44,C,10
Kyrie Irving,Eastern,Atlantic,Brooklyn Nets,6-2,30,11,G,11
Kevin Durant,Eastern,Atlantic,Brooklyn Nets,6-10,33,7,F,12
Bruce Brown,Eastern,Atlantic,Brooklyn Nets,6-4,25,1,F,13
Andre Drummond,Eastern,Atlantic,Brooklyn Nets,6-10,28,0,C,14
Seth Curry,Eastern,Atlantic,Brooklyn Nets,6-2,31,30,G,15
Lamelo Ball,Eastern,Southeast,Charlotte Hornets,6-7,20,2,G,16
Miles Bridges,Eastern,Southeast,Charlotte Hornets,6-7,24,0,F,17
Terry Rozier,Eastern,Southeast,Charlotte Hornets,6-1,28,3,G,18
Gordon Hayward,Eastern,Southeast,Charlotte Hornets,6-7,32,20,F,19
PJ Washington,Eastern,Southeast,Charlotte Hornets,6-7,23,25,F,20
Lonzo Ball,Eastern,Central,Chicago Bulls,6-6,24,2,G,21
Zach Lavine,Eastern,Central,Chicago Bulls,6-5,27,8,G,22
Demar Derozan,Eastern,Central,Chicago Bulls,6-6,32,11,F,23
Nikola Vucevic,Eastern,Central,Chicago Bulls,6-10,31,9,C,24
Coby White,Eastern,Central,Chicago Bulls,6-4,22,0,G,25
Darius Garland,Eastern,Central,Cleveland Cavaliers,6-1,22,10,G,26
Caris Levert,Eastern,Central,Cleveland Cavaliers,6-6,27,3,G,27
Jarret Allen,Eastern,Central,Cleveland Cavaliers,6-10,24,31,C,28
Kevin Love,Eastern,Central,Cleveland Cavaliers,6-8,33,0,F,29
Evan Mobley,Eastern,Central,Cleveland Cavaliers,6-11,20,20,F,30
Jalen Brunson,Western,Southwest,Dallas Mavericks,6-1,25,13,G,31
Luka Doncic,Western,Southwest,Dallas Mavericks,6-7,23,77,G,32
Spencer Dinwiddie,Western,Southwest,Dallas Mavericks,6-6,29,26,G,33
Maxi Kleber,Western,Southwest,Dallas Mavericks,6-10,30,42,F,34
